SHR \(0b[01]{1,}\),B;1000111
SHR \(0x[0-9a-fA-F]{1,}\),B;1000111
SHR \([^#AB0-9]\w*\),B;1000111
SHR \(B\);1001000
INC B;0100100
INC \(\d{1,}\);1001001
INC \(0b[01]{1,}\);1001001
INC \(0x[0-9a-fA-F]{1,}\);1001001
INC \([^#AB0-9]\w*\);1001001
INC \(B\);1001010
RST \(\d{1,}\);1001011
RST \(0b[01]{1,}\);1001011
RST \(0x[0-9a-fA-F]{1,}\);1001011
RST \([^#AB0-9]\w*\);1001011
RST \(B\);1001100
CMP A,B;1001101
CMP A,-?\d{1,};1001110
CMP A,0b[01]{1,};1001110
CMP A,0x[0-9a-fA-F]{1,};1001110
CMP B,-?\d{1,};1001111
CMP B,0b[01]{1,};1001111
CMP B,0x[0-9a-fA-F]{1,};1001111
CMP A,\(\d{1,}\);1010000
CMP A,\(0b[01]{1,}\);1010000
CMP A,\(0x[0-9a-fA-F]{1,}\);1010000
CMP A,\([^#AB0-9]\w*\);1010000
CMP B,\(\d{1,}\);1010001
CMP B,\(0b[01]{1,}\);1010001
CMP B,\(0x[0-9a-fA-F]{1,}\);1010001
CMP B,\([^#AB0-9]\w*\);1010001
CMP A,\(B\);1010010
JMP \d{1,};1010011
JMP 0b[01]{1,};1010011
JMP 0x[0-9a-fA-F]{1,};1010011
JMP [^#AB0-9]\w*;1010011
JEQ \d{1,};1010100
JEQ 0b[01]{1,};1010100
JEQ 0x[0-9a-fA-F]{1,};1010100
JEQ [^#AB0-9]\w*;1010100
JNE \d{1,};1010101
JNE 0b[01]{1,};1010101
JNE 0x[0-9a-fA-F]{1,};1010101
JNE [^#AB0-9]\w*;1010101
JGT \d{1,};1010110
JGT 0b[01]{1,};1010110
JGT 0x[0-9a-fA-F]{1,};1010110
JGT [^#AB0-9]\w*;1010110
JLT \d{1,};1010111
JLT 0b[01]{1,};1010111
JLT 0x[0-9a-fA-F]{1,};1010111
JLT [^#AB0-9]\w*;1010111
JGE \d{1,};1011000
JGE 0b[01]{1,};1011000
JGE 0x[0-9a-fA-F]{1,};1011000
JGE [^#AB0-9]\w*;1011000
JLE \d{1,};1011001
JLE 0b[01]{1,};1011001
JLE 0x[0-9a-fA-F]{1,};1011001
JLE [^#AB0-9]\w*;1011001
JCR \d{1,};1011010
JCR 0b[01]{1,};1011010
JCR 0x[0-9a-fA-F]{1,};1011010
JCR [^#AB0-9]\w*;1011010
JOV \d{1,};1011011
JOV 0b[01]{1,};1011011
JOV 0x[0-9a-fA-F]{1,};1011011
JOV [^#AB0-9]\w*;1011011
CALL \d{1,};1011100
CALL 0b[01]{1,};1011100
CALL 0x[0-9a-fA-F]{1,};1011100
CALL [^#AB0-9]\w*;1011100
RET .*;1011101
PUSH A;1011110
PUSH B;1011111
POP A;1100000
POP B;1100001
